Team,Visiting,Stadium,_featureID,TotalRoadJourney
Bournemouth,Swansea,Dean Court (Vitality Stadium),7,480.464590768681
Sheffield United,Southampton,Bramall Lane,29,607.713309553206
Tottenham,Newcastle,White Hart Lane,34,857.242519956856
QPR,Chelsea,Loftus Road,27,10.0785896445805
QPR,Sheffield United,Loftus Road,27,500.532058147356
West Ham,Crystal Palace,London Stadium (Olympic Stadium),37,41.2499168404446
Brentford,Chelsea,Brentford Community Stadium,8,15.3400205148612
West Ham,Newcastle,London Stadium (Olympic Stadium),37,875.598968303912
Southampton,Brighton,St Mary's Stadium,30,203.382915731307
Hull,Sunderland,MKM Stadium,17,348.04537093413
Southampton,Watford,St Mary's Stadium,30,249.549642405832
Reading,Reading,Madejski Stadium,28,0
Crystal Palace,Birmingham,Selhurst Park,13,378.11712362945
Portsmouth,Man City,Fratton Park,26,704.319322424143
Tottenham,Watford,White Hart Lane,34,56.9912659580694
Sunderland,Brighton,Stadium of Light,32,1025.83640733172
West Brom,Watford,The Hawthorns,36,319.369662994012
Swansea,Watford,Swansea.com Stadium,33,564.592827025388
Huddersfield,Southampton,Kirklees Stadium (John Smith's Stadium),16,696.258956664103
Birmingham,Huddersfield,St Andrew's (stadium),3,316.391690245647
Huddersfield,Sunderland,Kirklees Stadium (John Smith's Stadium),16,327.654493720826
Cardiff,Liverpool,Cardiff City Stadium (Dinas Caerdydd),11,525.004558880814
QPR,Blackpool,Loftus Road,27,716.188051572634
Liverpool,Bournemouth,Anfield,20,718.070012770972
Watford,Stoke,Vicarage Road,35,423.713746576729
West Ham,Leeds,London Stadium (Olympic Stadium),37,609.404117545949
Sunderland,Sunderland,Stadium of Light,32,0
Bolton,Cardiff,University of Bolton Stadium,6,555.864071166621
Sunderland,Crystal Palace,Stadium of Light,32,887.2931316006
West Brom,Middlesbrough,The Hawthorns,36,531.860902168658
Hull,Chelsea,MKM Stadium,17,562.592827332361
Arsenal,Hull,Emirates Stadium,1,544.91734660693
Man City,Aston Villa,Etihad Stadium,21,249.774727022325
Stoke,Liverpool,Bet365 Stadium,31,168.510066121488
Burnley,Blackpool,Turf Moor,10,119.51282542158
Swansea,Bournemouth,Swansea.com Stadium,33,480.464590768681
Brentford,Cardiff,Brentford Community Stadium,8,453.330834370493
Southampton,Brentford,St Mary's Stadium,30,225.242489762395
Watford,Crystal Palace,Vicarage Road,35,81.1117062470628
Fulham,Arsenal,Craven Cottage,15,27.5515154789775
Sheffield United,Birmingham,Bramall Lane,29,234.182540788751
Sheffield United,West Brom,Bramall Lane,29,231.391428246281
Liverpool,Brentford,Anfield,20,628.204038187191
Bolton,Stoke,University of Bolton Stadium,6,163.678751399335
Crystal Palace,Everton,Selhurst Park,13,660.914914611422
Watford,Reading,Vicarage Road,35,117.44921283996
Crystal Palace,Wigan,Selhurst Park,13,645.516601362941
Arsenal,Leeds,Emirates Stadium,1,597.942456645991
Crystal Palace,Liverpool,Selhurst Park,13,658.040996467474
Southampton,Newcastle,St Mary's Stadium,30,999.005290089968
Cardiff,Blackburn,Cardiff City Stadium (Dinas Caerdydd),11,594.988790996032
Huddersfield,Portsmouth,Kirklees Stadium (John Smith's Stadium),16,740.153424923989
Blackburn,Portsmouth,Ewood Park,4,769.099876841195
Tottenham,Crystal Palace,White Hart Lane,34,49.504390385627
Norwich,Hull,Carrow Road,25,463.787480101692
Crystal Palace,Fulham,Selhurst Park,13,29.5581527725186
Huddersfield,Huddersfield,Kirklees Stadium (John Smith's Stadium),16,0
Hull,Norwich,MKM Stadium,17,463.787480101692
Man United,Birmingham,Old Trafford,22,257.356798823072
Stoke,Leicester,Bet365 Stadium,31,181.093608077271
Bournemouth,Cardiff,Dean Court (Vitality Stadium),7,362.830315648209
Middlesbrough,Portsmouth,Riverside Stadium,23,948.430314299777
Sheffield United,Newcastle,Bramall Lane,29,399.30004184967
Watford,Brentford,Vicarage Road,35,45.9945671344773
Hull,Fulham,MKM Stadium,17,562.241510421709
West Ham,Southampton,London Stadium (Olympic Stadium),37,265.662291614308
Watford,Watford,Vicarage Road,35,0
Huddersfield,Hull,Kirklees Stadium (John Smith's Stadium),16,209.959744477848
Stoke,Aston Villa,Bet365 Stadium,31,128.7818643545
Sheffield United,Middlesbrough,Bramall Lane,29,304.830597799593
Bolton,Sunderland,University of Bolton Stadium,6,411.549114687462
Leeds,Crystal Palace,Elland Road,18,634.05996627457
Leeds,Huddersfield,Elland Road,18,40.6484589325374
Huddersfield,Man City,Kirklees Stadium (John Smith's Stadium),16,81.4946741262969
Everton,Southampton,Goodison Park,14,689.187928353406
Liverpool,Blackpool,Anfield,20,138.734849942207
Fulham,Chelsea,Craven Cottage,15,4.88576346143526
Leeds,Portsmouth,Elland Road,18,757.124220066839
Fulham,QPR,Craven Cottage,15,8.11206445149868
Man City,Wolves,Etihad Stadium,21,219.076430592912
Watford,QPR,Vicarage Road,35,48.3898352470233
Leicester,Middlesbrough,King Power Stadium,19,482.606097074269
Man United,Portsmouth,Old Trafford,22,702.529412557668
Wigan,Wolves,DW Stadium,38,247.304306824657
Leeds,Stoke,Elland Road,18,232.22037801227
Brentford,Norwich,Brentford Community Stadium,8,378.563465459127
West Brom,Reading,The Hawthorns,36,303.791579484562
Arsenal,Crystal Palace,Emirates Stadium,1,38.5649146195635
Fulham,Blackburn,Craven Cottage,15,659.037228838319
Birmingham,Leeds,St Andrew's (stadium),3,339.698983042497
Norwich,Stoke,Carrow Road,25,539.157067408234
Sheffield United,Norwich,Bramall Lane,29,463.069751161882
Swansea,Birmingham,Swansea.com Stadium,33,388.25857563624
Sheffield United,Bolton,Bramall Lane,29,170.193407736702
Wigan,Stoke,DW Stadium,38,155.985671016956
Brentford,QPR,Brentford Community Stadium,8,11.2571456229489
Swansea,Leeds,Swansea.com Stadium,33,686.042243197818
Blackpool,Cardiff,Bloomfield Road,5,645.199194308335
West Ham,Brentford,London Stadium (Olympic Stadium),37,41.1816552928178
Blackpool,Brentford,Bloomfield Road,5,714.57431889395
Watford,Middlesbrough,Vicarage Road,35,741.430400985727
Wolves,Bolton,Molineux Stadium,39,254.997387207036
Newcastle,Portsmouth,St. James' Park,24,1042.89975834985
Stoke,Southampton,Bet365 Stadium,31,539.431991496432
Leeds,Bournemouth,Elland Road,18,762.689200163405
Watford,Sheffield United,Vicarage Road,35,456.484792875021
Bournemouth,Sunderland,Dean Court (Vitality Stadium),7,1037.36202008969
Wolves,Blackpool,Molineux Stadium,39,346.198982635949
Blackburn,Leeds,Ewood Park,4,149.102388286573
Huddersfield,Burnley,Kirklees Stadium (John Smith's Stadium),16,87.2308339324717
Burnley,Reading,Turf Moor,10,623.970537005644
Stoke,Stoke,Bet365 Stadium,31,0
Man United,Brentford,Old Trafford,22,583.689947372542
Burnley,Crystal Palace,Turf Moor,10,683.339479425331
Brighton,West Brom,Falmer Stadium (The Amex),9,518.259829663023
Liverpool,Blackburn,Anfield,20,115.261520597165
Bournemouth,Portsmouth,Dean Court (Vitality Stadium),7,150.463452096542
Norwich,West Ham,Carrow Road,25,342.483755101164
Hull,Southampton,MKM Stadium,17,724.05628782976
Man United,Stoke,Old Trafford,22,125.967884918736
Everton,Leicester,Goodison Park,14,348.7743456585
Tottenham,West Ham,White Hart Lane,34,18.3877790781768
Brentford,Hull,Brentford Community Stadium,8,560.025770010966
Brighton,Fulham,Falmer Stadium (The Amex),9,161.76600364861
Sunderland,Huddersfield,Stadium of Light,32,327.654493720826
Arsenal,Blackpool,Emirates Stadium,1,709.934950907398
Leeds,West Brom,Elland Road,18,336.907870500027
Leicester,Wigan,King Power Stadium,19,333.376032410019
Blackburn,Chelsea,Ewood Park,4,659.895111257073
Reading,Leeds,Madejski Stadium,28,598.284177232065
Burnley,Man City,Turf Moor,10,81.5828467069161
Aston Villa,Blackburn,Villa Park,2,314.555281439376
Stoke,Burnley,Bet365 Stadium,31,206.345780672054
Liverpool,Swansea,Anfield,20,508.658614357612
Burnley,Portsmouth,Turf Moor,10,782.810579840419
Burnley,Tottenham,Turf Moor,10,647.253640495251
Wigan,Reading,DW Stadium,38,574.642598731348
Brighton,QPR,Falmer Stadium (The Amex),9,169.878068100109
Norwich,Man City,Carrow Road,25,579.669259199695
Birmingham,Blackburn,St Andrew's (stadium),3,323.927263106598
Aston Villa,Burnley,Villa Park,2,328.8021819424
Crystal Palace,Man United,Selhurst Park,13,613.526905652825
Blackpool,Aston Villa,Bloomfield Road,5,376.897279065362
Man City,Bolton,Etihad Stadium,21,55.7320293517602
Sunderland,Swansea,Stadium of Light,32,966.473390715004
Leeds,Wolves,Elland Road,18,319.229856972037
Wolves,Huddersfield,Molineux Stadium,39,278.950771278656
Hull,Brentford,MKM Stadium,17,560.025770010965
Blackburn,QPR,Ewood Park,4,653.273245404227
Southampton,Leeds,St Mary's Stadium,30,713.229751806954
Man United,Everton,Old Trafford,22,99.767146806361
Sunderland,West Brom,Stadium of Light,32,612.020818405309
Liverpool,Leeds,Anfield,20,215.981846577427
Sheffield United,Bournemouth,Bramall Lane,29,657.172757909658
West Ham,Bolton,London Stadium (Olympic Stadium),37,631.150653549402
Arsenal,Southampton,Emirates Stadium,1,258.068405632619
Southampton,Southampton,St Mary's Stadium,30,0
Watford,Fulham,Vicarage Road,35,54.1538186811168
QPR,Everton,Loftus Road,27,632.691689009822
Watford,Everton,Vicarage Road,35,588.644423737487
Brighton,Leeds,Falmer Stadium (The Amex),9,771.566955260016
Portsmouth,Leeds,Fratton Park,26,757.12422006684
Bolton,Fulham,University of Bolton Stadium,6,630.750439577814
Huddersfield,Crystal Palace,Kirklees Stadium (John Smith's Stadium),16,617.300930859851
Portsmouth,Crystal Palace,Fratton Park,26,224.151617034365
Crystal Palace,Stoke,Selhurst Park,13,495.984237450664
West Brom,Cardiff,The Hawthorns,36,326.398670060152
Birmingham,Burnley,St Andrew's (stadium),3,338.174163609623
Chelsea,Norwich,Stamford Bridge,12,368.095015352898
Aston Villa,Bolton,Villa Park,2,285.695683636448
Blackpool,Blackburn,Bloomfield Road,5,85.5990769671655
Reading,Blackburn,Madejski Stadium,28,611.195276916654
Southampton,Tottenham,St Mary's Stadium,30,270.024912193256
Leicester,Bournemouth,King Power Stadium,19,479.885812527477
Blackburn,Hull,Ewood Park,4,321.769142016091
Liverpool,Norwich,Anfield,20,679.795375480858
Bolton,Blackpool,University of Bolton Stadium,6,102.371781204295
Sheffield United,Blackburn,Bramall Lane,29,192.900519572445
Southampton,Crystal Palace,St Mary's Stadium,30,246.040333622125
Blackpool,Norwich,Bloomfield Road,5,729.104711395438
Sheffield United,Burnley,Bramall Lane,29,172.055572331268
Arsenal,Watford,Emirates Stadium,1,52.1426061877647
Reading,Liverpool,Madejski Stadium,28,583.071195382088
Blackpool,Huddersfield,Bloomfield Road,5,203.330962343241
Birmingham,Sunderland,St Andrew's (stadium),3,614.81193094778
Cardiff,Newcastle,Cardiff City Stadium (Dinas Caerdydd),11,947.670823204549
Wigan,Man United,DW Stadium,38,60.0265549750729
Middlesbrough,Hull,Riverside Stadium,23,260.19569038868
QPR,West Ham,Loftus Road,27,32.473798018727
Brighton,Tottenham,Falmer Stadium (The Amex),9,188.047666116751
Brighton,Southampton,Falmer Stadium (The Amex),9,203.382915731307
Brighton,Aston Villa,Falmer Stadium (The Amex),9,512.561097152966
Arsenal,Everton,Emirates Stadium,1,626.438588344587
Leicester,Arsenal,King Power Stadium,19,298.474378453609
Tottenham,Wolves,White Hart Lane,34,388.664045671615
QPR,Arsenal,Loftus Road,27,24.297211824422
Fulham,Portsmouth,Craven Cottage,15,213.806648237047
Newcastle,Man City,St. James' Park,24,409.654295245369
Middlesbrough,Southampton,Riverside Stadium,23,904.535846039891
Leeds,QPR,Elland Road,18,605.836740672971
Crystal Palace,Swansea,Selhurst Park,13,607.038526774759
Leicester,Burnley,King Power Stadium,19,353.119248288725
Portsmouth,Swansea,Fratton Park,26,538.446039355488
Crystal Palace,Brighton,Selhurst Park,13,142.204428464167
Cardiff,Leicester,Cardiff City Stadium (Dinas Caerdydd),11,433.970872685727
Middlesbrough,Swansea,Riverside Stadium,23,887.463359611003
Hull,Bournemouth,MKM Stadium,17,779.282748384136
Birmingham,Aston Villa,St Andrew's (stadium),3,10.7810604018766
Stoke,Norwich,Bet365 Stadium,31,539.157067408235
Bournemouth,Birmingham,Dean Court (Vitality Stadium),7,434.836581391595
Blackburn,Middlesbrough,Ewood Park,4,309.809759462026
Liverpool,West Ham,Anfield,20,635.981968271556
Arsenal,Man United,Emirates Stadium,1,579.05057938599
Fulham,Middlesbrough,Craven Cottage,15,786.992027168655
Brentford,Blackpool,Brentford Community Stadium,8,714.57431889395
Hull,Middlesbrough,MKM Stadium,17,260.195690388681
West Brom,Brighton,The Hawthorns,36,518.259829663022
Fulham,Leicester,Craven Cottage,15,310.491462552938
Cardiff,Tottenham,Cardiff City Stadium (Dinas Caerdydd),11,497.377750119449
Burnley,Middlesbrough,Turf Moor,10,274.5140207707
Leeds,Newcastle,Elland Road,18,301.41006760668
Swansea,Reading,Swansea.com Stadium,33,469.678809266122
Chelsea,Sunderland,Stamford Bridge,12,867.503260315958
Man United,Norwich,Old Trafford,22,588.03857540728
Reading,Bournemouth,Madejski Stadium,28,222.764731184905
Stoke,Tottenham,Bet365 Stadium,31,459.898398520583
Southampton,Wigan,St Mary's Stadium,30,688.652730396002
Man United,Hull,Old Trafford,22,297.946400241013
Middlesbrough,Chelsea,Riverside Stadium,23,787.343344079308
Wolves,Norwich,Molineux Stadium,39,531.905088811306
Wolves,Newcastle,Molineux Stadium,39,614.908626576717
Newcastle,Southampton,St. James' Park,24,999.005290089968
Bournemouth,Leicester,Dean Court (Vitality Stadium),7,479.885812527477
Crystal Palace,Arsenal,Selhurst Park,13,38.5649146195635
Sunderland,Burnley,Stadium of Light,32,336.269864180547
Crystal Palace,Burnley,Selhurst Park,13,683.339479425331
Brighton,Huddersfield,Falmer Stadium (The Amex),9,754.807919845297
Everton,Newcastle,Goodison Park,14,480.672249793971
Leicester,Sheffield United,King Power Stadium,19,197.439239390131
Wolves,Watford,Molineux Stadium,39,350.60189251926
Newcastle,Wolves,St. James' Park,24,614.908626576718
Crystal Palace,Leeds,Selhurst Park,13,634.05996627457
Burnley,Watford,Turf Moor,10,611.068988551397
Portsmouth,Burnley,Fratton Park,26,782.810579840419
West Brom,Aston Villa,The Hawthorns,36,12.1638392312
Liverpool,Leicester,Anfield,20,345.900427514551
QPR,Norwich,Loftus Road,27,369.855608185036
Chelsea,Leicester,Stamford Bridge,12,311.349344971691
Sheffield United,Cardiff,Bramall Lane,29,552.731905232094
Blackburn,Brentford,Ewood Park,4,651.659512725544
Wigan,Newcastle,DW Stadium,38,436.092633093573
Huddersfield,Brentford,Kirklees Stadium (John Smith's Stadium),16,587.463972579569
QPR,Portsmouth,Loftus Road,27,221.211484360156
Leicester,Brentford,King Power Stadium,19,303.113746440161
Swansea,Liverpool,Swansea.com Stadium,33,508.658614357612
Wolves,Brighton,Molineux Stadium,39,549.49205918827
Man City,Middlesbrough,Etihad Stadium,21,320.7320463972
QPR,Bolton,Loftus Road,27,624.986456143721
Cardiff,Swansea,Cardiff City Stadium (Dinas Caerdydd),11,127.677871809202
Blackpool,Tottenham,Bloomfield Road,5,708.325438244152
Everton,Wolves,Goodison Park,14,250.809517235172
Man United,Swansea,Old Trafford,22,557.659012926398
Portsmouth,Middlesbrough,Fratton Park,26,948.430314299777
Brighton,Stoke,Falmer Stadium (The Amex),9,633.49122643611
Blackburn,Aston Villa,Ewood Park,4,314.555281439376
Bolton,Watford,University of Bolton Stadium,6,580.939190871385
Arsenal,Liverpool,Emirates Stadium,1,623.564670200638
Burnley,Chelsea,Turf Moor,10,661.738119676578
Stoke,Blackburn,Bet365 Stadium,31,192.538349202262
Portsmouth,Fulham,Fratton Park,26,213.806648237047
Norwich,Chelsea,Carrow Road,25,368.095015352898
Hull,Reading,MKM Stadium,17,606.312540756178
Chelsea,Brentford,Stamford Bridge,12,15.3400205148612
Fulham,Crystal Palace,Craven Cottage,15,29.5581527725186
West Brom,Sheffield United,The Hawthorns,36,231.391428246281
Swansea,Southampton,Swansea.com Stadium,33,478.394615355904
Brentford,West Brom,Brentford Community Stadium,8,357.866279447908
Swansea,Norwich,Swansea.com Stadium,33,848.506289180876
Bournemouth,Sheffield United,Dean Court (Vitality Stadium),7,657.172757909659
Birmingham,Everton,St Andrew's (stadium),3,297.849788503027
Blackpool,Leicester,Bloomfield Road,5,427.537212953286
Norwich,West Brom,Carrow Road,25,507.706531875275
West Brom,Brentford,The Hawthorns,36,357.866279447908
Hull,Crystal Palace,MKM Stadium,17,582.382698617003
Watford,Norwich,Vicarage Road,35,357.500963259348
Watford,Bolton,Vicarage Road,35,580.939190871385
Aston Villa,Reading,Villa Park,2,298.092846974505
Burnley,Man United,Turf Moor,10,84.844775976324
Norwich,Brighton,Carrow Road,25,506.039906074789
Fulham,Leeds,Craven Cottage,15,611.600724107064
Reading,Stoke,Madejski Stadium,28,425.421859831778
Newcastle,Wigan,St. James' Park,24,436.092633093574
West Ham,Hull,London Stadium (Olympic Stadium),37,556.379007506889
Wolves,Bournemouth,Molineux Stadium,39,478.04776064242
Sheffield United,Hull,Bramall Lane,29,201.43052750659
Reading,Fulham,Madejski Stadium,28,121.207513036694
West Ham,Blackburn,London Stadium (Olympic Stadium),37,659.437442809907
Southampton,West Brom,St Mary's Stadium,30,417.801711149216
Brighton,Man City,Falmer Stadium (The Amex),9,748.301366463598
Middlesbrough,Leicester,Riverside Stadium,23,482.606097074269
Middlesbrough,Wolves,Riverside Stadium,23,525.986377728549
Stoke,Everton,Bet365 Stadium,31,171.383984265437
Sheffield United,Stoke,Bramall Lane,29,161.90039127204
Blackburn,Tottenham,Ewood Park,4,645.410632075746
Fulham,Brentford,Craven Cottage,15,12.7343166206186
Arsenal,Norwich,Emirates Stadium,1,348.599561803131
Bournemouth,Burnley,Dean Court (Vitality Stadium),7,771.282570747338
Brighton,Blackburn,Falmer Stadium (The Amex),9,819.00345999127
Man United,Blackburn,Old Trafford,22,72.0359773852086
Fulham,Huddersfield,Craven Cottage,15,594.841688692345
Bolton,Chelsea,University of Bolton Stadium,6,631.608321996567
Aston Villa,Everton,Villa Park,2,291.972182277143
Huddersfield,Cardiff,Kirklees Stadium (John Smith's Stadium),16,613.971773360592
Norwich,Newcastle,Carrow Road,25,810.759471633867
Newcastle,Birmingham,St. James' Park,24,629.121458761205
Man United,Liverpool,Old Trafford,22,102.644437960542
Cardiff,West Brom,Cardiff City Stadium (Dinas Caerdydd),11,326.398670060153
Cardiff,West Ham,Cardiff City Stadium (Dinas Caerdydd),11,493.814725348528
Swansea,Hull,Swansea.com Stadium,33,783.964756856234
Southampton,Chelsea,St Mary's Stadium,30,237.400467411779
Fulham,Bournemouth,Craven Cottage,15,312.88082613421
Brentford,Tottenham,Brentford Community Stadium,8,44.961575659149
Brentford,Brentford,Brentford Community Stadium,8,0
Wolves,Swansea,Molineux Stadium,39,380.350045923712
Man United,Blackpool,Old Trafford,22,147.378946356993
Portsmouth,Brighton,Fratton Park,26,159.569188935812
Reading,Chelsea,Madejski Stadium,28,123.806029893592
Reading,Hull,Madejski Stadium,28,606.312540756178
Hull,Everton,MKM Stadium,17,382.490964858899
Blackburn,Cardiff,Ewood Park,4,594.988790996033
Middlesbrough,Liverpool,Riverside Stadium,23,417.402962990613
Everton,Brentford,Goodison Park,14,631.07795633114
Wolves,Man United,Molineux Stadium,39,217.286520726438
Stoke,Birmingham,Bet365 Stadium,31,138.153846021722
Portsmouth,Bolton,Fratton Park,26,740.240279038266
Aston Villa,QPR,Villa Park,2,355.535064048003
Wolves,Chelsea,Molineux Stadium,39,402.183257829007
Sunderland,Everton,Stadium of Light,32,479.502544925222
Norwich,Burnley,Carrow Road,25,631.121355164299
Sunderland,Liverpool,Stadium of Light,32,481.427100261614
Birmingham,Birmingham,St Andrew's (stadium),3,0
Man United,Newcastle,Old Trafford,22,419.7319268525
Sunderland,Man United,Stadium of Light,32,410.969594240981
Man City,Liverpool,Etihad Stadium,21,113.151211489689
Hull,QPR,MKM Stadium,17,556.477526987615
Cardiff,Hull,Cardiff City Stadium (Dinas Caerdydd),11,723.039700587388
Southampton,QPR,St Mary's Stadium,30,236.320482157056
Middlesbrough,Stoke,Riverside Stadium,23,438.976898768782
Stoke,Wigan,Bet365 Stadium,31,155.985671016956
West Brom,Everton,The Hawthorns,36,280.764855564724
QPR,Liverpool,Loftus Road,27,629.817770865874
Everton,Arsenal,Goodison Park,14,626.438588344588
Liverpool,Crystal Palace,Anfield,20,658.040996467473
Chelsea,Stoke,Stamford Bridge,12,474.382877701911
Wolves,Fulham,Molineux Stadium,39,399.635519540426
Sheffield United,Blackpool,Bramall Lane,29,269.120049868506
Crystal Palace,Bolton,Selhurst Park,13,653.20968174532
Watford,Aston Villa,Vicarage Road,35,313.670930483956
Fulham,Man United,Craven Cottage,15,591.067663485318
Watford,Newcastle,Vicarage Road,35,835.899845035804
Leicester,Man United,King Power Stadium,19,285.722989154129
Everton,Stoke,Goodison Park,14,171.383984265437
Middlesbrough,Man City,Riverside Stadium,23,320.7320463972
Stoke,Chelsea,Bet365 Stadium,31,474.382877701911
Brentford,Arsenal,Brentford Community Stadium,8,33.0050690985128
West Brom,Man City,The Hawthorns,36,244.315006374704
Bolton,Everton,University of Bolton Stadium,6,76.2066780888148
Leeds,Watford,Elland Road,18,561.789475400636
Liverpool,Brighton,Anfield,20,795.54798545292
Birmingham,Portsmouth,St Andrew's (stadium),3,446.900787988475
Birmingham,West Brom,St Andrew's (stadium),3,17.0849329383033
Wigan,Southampton,DW Stadium,38,688.652730396001
Bolton,Tottenham,University of Bolton Stadium,6,617.123842815239
Everton,Liverpool,Goodison Park,14,3.14241454383003
West Ham,Leicester,London Stadium (Olympic Stadium),37,310.891676524526
Aston Villa,Sheffield United,Villa Park,2,224.797467593609
Leicester,Portsmouth,King Power Stadium,19,465.824217225508
QPR,Wolves,Loftus Road,27,392.466026083307
Man City,Man United,Etihad Stadium,21,15.0467546254386
Wolves,Sunderland,Molineux Stadium,39,606.146293965199
